Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,2.3,0,1,0,0.0,0.44,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,23,2000,23.0,2,12,4,33.3,0.52,0.17,0.17,0.50,22.9,0,0,0,0.5,0.5,0.04,+1.5,+1.5,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,0,2,0,0.0,0.68,0.00,0.00,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,30.8,9,73,26,35.6,2.37,0.85,0.11,0.31,15.0,0,1,1,8.5,7.7,0.11,+0.5,+0.3,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,12.1,1,7,3,42.9,0.58,0.25,0.14,0.33,17.7,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,21.1,7,62,26,41.9,2.94,1.23,0.10,0.23,14.6,0,1,2,10.2,8.6,0.14,-3.2,-2.6,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,27.4,0,12,1,8.3,0.44,0.04,0.00,0.00,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,13.1,3,26,11,42.3,1.98,0.84,0.08,0.18,13.4,0,1,2,7.1,5.4,0.21,-4.1,-3.4,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,19.0,0,5,1,20.0,0.26,0.05,0.00,0.00,11.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
